Total Population,Food available,Current Year,Disaster year
57,198,1,False
60,388,2,False
64,574,3,False
67,757,4,False
70,937,5,False
74,1113,6,False
75,1288,7,False
78,1460,8,False
67,1613,9,True
71,1787,10,False
74,1978,11,False
76,2182,12,False
77,2395,13,False
78,2612,14,False
78,2844,15,False
78,3086,16,False
72,3319,17,True
59,3510,18,True
59,3706,19,False
60,3916,20,False
62,4134,21,False
63,4356,22,False
64,4582,23,False
67,4805,24,False
69,5026,25,False
70,5251,26,False
73,5473,27,False
74,5694,28,False
65,5889,29,True
67,6092,30,False
65,6277,31,True
69,6458,32,False
71,6642,33,False
73,6824,34,False
71,6993,35,True
72,7171,36,False
71,7345,37,False
72,7523,38,False
73,7710,39,False
74,7906,40,False
72,8119,41,False
72,8337,42,False
73,8564,43,False
75,8804,44,False
76,9058,45,False
78,9310,46,False
72,9538,47,True
60,9718,48,True
64,9899,49,False
66,10078,50,False
68,10265,51,False
68,10452,52,False
69,10638,53,False
70,10823,54,False
72,11006,55,False
74,11207,56,False
75,11417,57,False
75,11647,58,False
76,11881,59,False
78,12118,60,False
81,12347,61,False
73,12544,62,True
72,12742,63,False
71,12946,64,False
73,13158,65,False
75,13373,66,False
77,13586,67,False
79,13807,68,False
81,14036,69,False
83,14283,70,False
85,14543,71,False
85,14808,72,False
87,15076,73,False
87,15354,74,False
89,15640,75,False
90,15935,76,False
92,16233,77,False
95,16538,78,False
95,16858,79,False
97,17186,80,False
100,17511,81,False
89,17792,82,True
89,18068,83,False
89,18344,84,False
89,18620,85,False
89,18901,86,False
92,19194,87,False
96,19483,88,False
89,19754,89,True
91,20043,90,False
92,20336,91,False
93,20633,92,False
96,20927,93,False
96,21226,94,False
84,21482,95,True
78,21729,96,True
80,21994,97,False
82,22262,98,False
81,22536,99,False
81,22810,100,False
83,23087,101,False
86,23371,102,False
88,23648,103,False
89,23934,104,False
88,24216,105,False
89,24507,106,False
91,24801,107,False
87,25079,108,True
85,25344,109,False
88,25611,110,False
80,25856,111,True
71,26075,112,True
71,26294,113,False
71,26508,114,False
70,26723,115,False
70,26938,116,False
70,27158,117,False
69,27384,118,False
69,27625,119,False
71,27874,120,False
70,28129,121,False
69,28385,122,False
69,28651,123,False
72,28914,124,False
75,29179,125,False
73,29446,126,False
75,29711,127,False
76,29975,128,False
76,30234,129,False
81,30483,130,False
81,30727,131,False
82,30965,132,False
83,31207,133,False
84,31458,134,False
87,31706,135,False
89,31952,136,False
89,32203,137,False
90,32458,138,False
93,32735,139,False
85,32975,140,True
89,33216,141,False
75,33436,142,True
73,33648,143,False
73,33860,144,False
74,34086,145,False
74,34307,146,False
74,34538,147,False
73,34780,148,False
73,35027,149,False
74,35288,150,False
75,35543,151,False
76,35797,152,False
76,36056,153,False
77,36324,154,False
78,36596,155,False
79,36867,156,False
82,37135,157,False
81,37399,158,False
83,37671,159,False
82,37939,160,False
84,38215,161,False
87,38493,162,False
87,38771,163,False
89,39047,164,False
77,39270,165,True
80,39505,166,False
82,39738,167,False
69,39929,168,True
69,40115,169,False
71,40304,170,False
73,40501,171,False
74,40707,172,False
75,40917,173,False
77,41140,174,False
77,41368,175,False
79,41609,176,False
78,41856,177,False
80,42106,178,False
79,42362,179,False
80,42632,180,False
81,42906,181,False
84,43182,182,False
85,43462,183,False
88,43739,184,False
88,44016,185,False
91,44290,186,False
96,44564,187,False
98,44836,188,False
100,45106,189,False
101,45380,190,False
106,45659,191,False
106,45938,192,False
