Total Population,Food available,Current Year,Disaster year
57,198,1,False
61,387,2,False
63,574,3,False
65,759,4,False
69,940,5,False
70,1120,6,False
73,1297,7,False
76,1471,8,False
78,1643,9,False
82,1846,10,False
83,2068,11,False
84,2299,12,False
87,2537,13,False
87,2795,14,False
89,3056,15,False
89,3332,16,False
89,3623,17,False
89,3924,18,False
90,4244,19,False
91,4568,20,False
91,4897,21,False
91,5241,22,False
92,5584,23,False
94,5935,24,False
96,6284,25,False
100,6629,26,False
105,6969,27,False
109,7310,28,False
114,7651,29,False
117,7989,30,False
123,8321,31,False
122,8634,32,False
124,8950,33,False
128,9272,34,False
131,9606,35,False
134,9957,36,False
131,10316,37,False
135,10691,38,False
136,11080,39,False
137,11483,40,False
138,11900,41,False
142,12318,42,False
146,12752,43,False
149,13193,44,False
154,13644,45,False
155,14089,46,False
156,14553,47,False
159,15009,48,False
159,15475,49,False
162,15943,50,False
163,16430,51,False
168,16927,52,False
172,17440,53,False
172,17973,54,False
177,18511,55,False
182,19049,56,False
186,19603,57,False
197,20156,58,False
199,20727,59,False
204,21293,60,False
204,21874,61,False
207,22462,62,False
217,23040,63,False
220,23625,64,False
224,24236,65,False
230,24866,66,False
233,25548,67,False
238,26235,68,False
241,26959,69,False
249,27690,70,False
254,28446,71,False
261,29255,72,False
267,30088,73,False
273,30935,74,False
278,31807,75,False
283,32689,76,False
288,33591,77,False
293,34503,78,False
300,35448,79,False
309,36409,80,False
318,37396,81,False
323,38408,82,False
325,39413,83,False
335,40413,84,False
338,41425,85,False
345,42445,86,False
346,43469,87,False
355,44514,88,False
360,45584,89,False
370,46674,90,False
380,47769,91,False
394,48875,92,False
404,50036,93,False
414,51207,94,False
421,52401,95,False
436,53605,96,False
444,54841,97,False
456,56105,98,False
465,57425,99,False
469,58801,100,False
480,60251,101,False
492,61739,102,False
509,63265,103,False
526,64824,104,False
536,66443,105,False
546,68092,106,False
556,69781,107,False
563,71488,108,False
577,73176,109,False
588,74893,110,False
607,76631,111,False
617,78429,112,False
628,80271,113,False
645,82131,114,False
662,84019,115,False
676,85933,116,False
686,87872,117,False
701,89871,118,False
722,91924,119,False
734,94060,120,False
754,96236,121,False
770,98461,122,False
792,100759,123,False
804,103115,124,False
823,105522,125,False
838,107959,126,False
853,110446,127,False
874,113007,128,False
894,115623,129,False
917,118296,130,False
941,121035,131,False
957,123858,132,False
979,126734,133,False
1003,129671,134,False
1026,132660,135,False
1049,135721,136,False
1072,138849,137,False
1092,142037,138,False
1117,145315,139,False
1134,148651,140,False
1162,152049,141,False
1185,155509,142,False
1219,159070,143,False
1244,162716,144,False
1262,166409,145,False
1295,170179,146,False
1322,174032,147,False
1349,177978,148,False
1389,182009,149,False
1422,186132,150,False
1463,190354,151,False
1494,194690,152,False
1532,199118,153,False
1559,203634,154,False
1583,208291,155,False
1615,213041,156,False
1657,217889,157,False
1697,222887,158,False
1739,228008,159,False
1780,233283,160,False
1812,238686,161,False
1850,244221,162,False
1881,249850,163,False
